combination_index	tf_count	combination	run	seed	source	fit_xml	single_hit_rates
93	4	ATF4+CREB3+CREB5+CREM	4	300556	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+CREB3+CREB5+CREM\run_04_seed_300556\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+CREB3+CREB5+CREM\run_04_seed_300556\fit.output.rates
94	4	ATF7+CREB1+CREB3+CREB5	1	300559	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_01_seed_300559\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_01_seed_300559\fit.output.rates
94	4	ATF7+CREB1+CREB3+CREB5	2	300560	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_02_seed_300560\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_02_seed_300560\fit.output.rates
94	4	ATF7+CREB1+CREB3+CREB5	3	300561	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_03_seed_300561\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_03_seed_300561\fit.output.rates
94	4	ATF7+CREB1+CREB3+CREB5	4	300562	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_04_seed_300562\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREB5\run_04_seed_300562\fit.output.rates
95	4	ATF7+CREB1+CREB3+CREM	1	300565	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_01_seed_300565\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_01_seed_300565\fit.output.rates
95	4	ATF7+CREB1+CREB3+CREM	2	300566	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_02_seed_300566\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_02_seed_300566\fit.output.rates
95	4	ATF7+CREB1+CREB3+CREM	3	300567	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_03_seed_300567\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_03_seed_300567\fit.output.rates
95	4	ATF7+CREB1+CREB3+CREM	4	300568	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_04_seed_300568\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB3+CREM\run_04_seed_300568\fit.output.rates
96	4	ATF7+CREB1+CREB5+CREM	1	300571	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_01_seed_300571\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_01_seed_300571\fit.output.rates
96	4	ATF7+CREB1+CREB5+CREM	2	300572	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_02_seed_300572\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_02_seed_300572\fit.output.rates
96	4	ATF7+CREB1+CREB5+CREM	3	300573	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_03_seed_300573\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_03_seed_300573\fit.output.rates
96	4	ATF7+CREB1+CREB5+CREM	4	300574	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_04_seed_300574\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB1+CREB5+CREM\run_04_seed_300574\fit.output.rates
97	4	ATF7+CREB3+CREB5+CREM	1	300577	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB3+CREB5+CREM\run_01_seed_300577\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF7+CREB3+CREB5+CREM\run_01_seed_300577\fit.output.rates
