combination_index	tf_count	combination	run	seed	source	final_score	elapsed	single_hit_r	multi_hit_r	fit_xml	single_hit_rates	multi_hit_rates
81	4	ATF1+CREB1+CREB3+CREM	4	300484	reverse	6.046e+04	00:06:30.5246048	0.8009279345	0.7320066876	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB3+CREM\run_04_seed_300484\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB3+CREM\run_04_seed_300484\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB1+CREB3+CREM\run_04.rates.tsv
82	4	ATF1+CREB1+CREB5+CREM	1	300487	reverse	5.371e+04	00:06:31.6155602	0.8406551745	0.7779610122	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_01_seed_300487\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_01_seed_300487\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB1+CREB5+CREM\run_01.rates.tsv
82	4	ATF1+CREB1+CREB5+CREM	2	300488	reverse	5.379e+04	00:07:00.7404414	0.8393963259	0.7768461390	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_02_seed_300488\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_02_seed_300488\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB1+CREB5+CREM\run_02.rates.tsv
82	4	ATF1+CREB1+CREB5+CREM	3	300489	reverse	5.386e+04	00:04:00.5936548	0.8382970923	0.7813708271	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_03_seed_300489\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_03_seed_300489\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB1+CREB5+CREM\run_03.rates.tsv
82	4	ATF1+CREB1+CREB5+CREM	4	300490	reverse	9.093e+04	00:03:00.6793585	0.7228104032	0.6319743956	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_04_seed_300490\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB1+CREB5+CREM\run_04_seed_300490\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB1+CREB5+CREM\run_04.rates.tsv
83	4	ATF1+CREB3+CREB5+CREM	1	300493	reverse	8.892e+04	00:01:25.1263332	0.6910088438	0.6372088613	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_01_seed_300493\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_01_seed_300493\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB3+CREB5+CREM\run_01.rates.tsv
83	4	ATF1+CREB3+CREB5+CREM	2	300494	reverse	7.926e+04	00:05:15.4530944	0.7072336304	0.6518339033	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_02_seed_300494\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_02_seed_300494\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB3+CREB5+CREM\run_02.rates.tsv
83	4	ATF1+CREB3+CREB5+CREM	3	300495	reverse	6.971e+04	00:08:00.9445063	0.7774388783	0.7207286658	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_03_seed_300495\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_03_seed_300495\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB3+CREB5+CREM\run_03.rates.tsv
83	4	ATF1+CREB3+CREB5+CREM	4	300496	reverse	7.407e+04	00:05:00.5744849	0.7513812201	0.6618305761	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_04_seed_300496\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+CREB3+CREB5+CREM\run_04_seed_300496\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF1+CREB3+CREB5+CREM\run_04.rates.tsv
84	4	ATF4+ATF7+CREB1+CREB3	1	300499	reverse	5.798e+04	00:10:10.7055368	0.8332724679	0.7523783298	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_01_seed_300499\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_01_seed_300499\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB3\run_01.rates.tsv
